Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Chicago, IL metro area	June 2019	$265K	1.1%	0.0%	10,112	-2.3%	-11.1%	12,747	-10.6%	-3.3%	38,590	4.9%	10.8%	56	0	5	97.7%	0.0%	-0.3%
Chicago, IL metro area	July 2019	$261K	-1.5%	2.4%	9,937	-1.7%	1.3%	11,765	-7.7%	-3.7%	39,068	1.2%	10.0%	59	3	4	97.5%	-0.2%	-0.3%
Chicago, IL metro area	August 2019	$254K	-2.9%	3.5%	9,382	-5.6%	-5.8%	10,826	-8.0%	-3.6%	38,186	-2.3%	9.8%	65	6	9	97.4%	-0.1%	0.0%
Chicago, IL metro area	September 2019	$243K	-4.3%	1.0%	7,591	-19.1%	1.8%	10,059	-7.1%	-0.1%	37,545	-1.7%	7.9%	70	5	10	97.2%	-0.2%	0.0%
Chicago, IL metro area	October 2019	$240K	-1.0%	3.4%	7,747	2.1%	-1.6%	9,063	-9.9%	-3.0%	35,478	-5.5%	6.9%	76	6	12	97.0%	-0.2%	-0.1%
Chicago, IL metro area	November 2019	$241K	0.5%	2.7%	6,519	-15.9%	-7.3%	5,805	-35.9%	-6.6%	31,561	-11.0%	6.7%	79	3	10	96.8%	-0.2%	-0.1%
Chicago, IL metro area	December 2019	$240K	-0.5%	5.2%	6,883	5.6%	14.0%	4,419	-23.9%	7.2%	26,580	-15.8%	4.3%	84	5	8	96.7%	-0.1%	0.1%
Chicago, IL metro area	January 2020	$234K	-2.5%	4.0%	5,107	-25.8%	10.8%	8,317	88.2%	7.9%	27,399	3.1%	5.3%	96	12	10	96.5%	-0.3%	0.0%
Chicago, IL metro area	February 2020	$242K	3.4%	4.1%	5,257	2.9%	7.0%	11,046	32.8%	8.3%	30,455	11.2%	5.8%	101	5	9	96.8%	0.3%	0.0%
Chicago, IL metro area	March 2020	$265K	9.5%	9.2%	7,199	36.9%	3.7%	11,001	-0.4%	-18.0%	26,893	-11.7%	-16.8%	77	-24	2	97.5%	0.7%	0.2%
Chicago, IL metro area	April 2020	$275K	3.8%	7.8%	7,217	0.3%	-15.8%	6,902	-37.3%	-52.6%	23,174	-13.8%	-34.1%	60	-17	2	97.7%	0.2%	0.2%
Chicago, IL metro area	May 2020	$265K	-3.6%	1.1%	6,342	-12.1%	-38.7%	10,206	47.9%	-28.4%	22,417	-3.3%	-39.1%	37	-23	-19	97.3%	-0.4%	-0.4%
Chicago, IL metro area	June 2020	$269K	1.5%	1.5%	8,085	27.5%	-20.0%	12,942	26.8%	1.5%	22,230	-0.8%	-42.4%	33	-4	-23	97.4%	0.1%	-0.3%
Chicago, IL metro area	July 2020	$280K	4.1%	7.3%	10,857	34.3%	9.3%	13,648	5.5%	16.0%	22,669	2.0%	-42.0%	25	-8	-34	97.9%	0.5%	0.3%
Chicago, IL metro area	August 2020	$285K	1.8%	12.4%	11,030	1.6%	17.6%	12,885	-5.6%	19.0%	22,615	-0.2%	-40.8%	22	-3	-43	98.0%	0.1%	0.6%
Chicago, IL metro area	September 2020	$276K	-3.2%	13.8%	10,300	-6.6%	35.7%	12,131	-5.9%	20.6%	22,767	0.7%	-39.4%	22	0	-48	98.2%	0.2%	0.9%
Chicago, IL metro area	October 2020	$275K	-0.4%	14.6%	10,384	0.8%	34.0%	10,650	-12.2%	17.5%	22,106	-2.9%	-37.7%	20	-2	-56	98.2%	0.0%	1.2%
Chicago, IL metro area	November 2020	$270K	-1.8%	11.9%	8,337	-19.7%	27.9%	7,091	-33.4%	22.2%	19,443	-12.0%	-38.4%	21	1	-58	98.1%	-0.1%	1.3%
Chicago, IL metro area	December 2020	$269K	-0.6%	11.9%	9,115	9.3%	32.4%	5,339	-24.7%	20.8%	16,513	-15.1%	-37.9%	25	4	-59	98.0%	-0.1%	1.3%
Chicago, IL metro area	January 2021	$270K	0.6%	15.4%	6,155	-32.5%	20.5%	8,205	53.7%	-1.3%	15,489	-6.2%	-43.5%	33	8	-63	98.0%	-0.1%	1.5%
Chicago, IL metro area	February 2021	$274K	1.5%	13.2%	6,070	-1.4%	15.5%	8,868	8.1%	-19.7%	14,883	-3.9%	-51.1%	38	5	-63	98.1%	0.1%	1.3%
Chicago, IL metro area	March 2021	$300K	9.5%	13.2%	9,304	53.3%	29.2%	13,639	53.8%	24.0%	15,739	5.8%	-41.5%	27	-11	-50	98.7%	0.7%	1.2%
Chicago, IL metro area	April 2021	$311K	3.8%	13.2%	10,488	12.7%	45.3%	14,814	8.6%	114.6%	17,523	11.3%	-24.4%	15	-12	-45	99.4%	0.7%	1.7%
Chicago, IL metro area	May 2021	$315K	1.2%	18.9%	10,902	3.9%	71.9%	14,084	-4.9%	38.0%	18,296	4.4%	-18.4%	11	-4	-26	100.0%	0.6%	2.7%
Chicago, IL metro area	June 2021	$320K	1.6%	19.0%	13,018	19.4%	61.0%	15,117	7.3%	16.8%	20,139	10.1%	-9.4%	9	-2	-24	100.3%	0.3%	2.9%
Chicago, IL metro area	July 2021	$312K	-2.5%	11.4%	11,703	-10.1%	7.8%	13,968	-7.6%	2.3%	21,637	7.4%	-4.6%	11	2	-14	100.1%	-0.2%	2.2%
Chicago, IL metro area	August 2021	$305K	-2.2%	7.0%	11,204	-4.3%	1.6%	12,170	-12.9%	-5.5%	21,115	-2.4%	-6.6%	14	3	-8	99.7%	-0.3%	1.7%
Chicago, IL metro area	September 2021	$293K	-3.9%	6.2%	9,953	-11.2%	-3.4%	11,516	-5.4%	-5.1%	20,906	-1.0%	-8.2%	15	1	-7	99.2%	-0.5%	1.0%
Chicago, IL metro area	October 2021	$293K	0.0%	6.5%	9,562	-3.9%	-7.9%	9,894	-14.1%	-7.1%	19,281	-7.8%	-12.8%	20	5	0	99.0%	-0.2%	0.8%
Chicago, IL metro area	November 2021	$293K	0.0%	8.5%	8,956	-6.3%	7.4%	7,211	-27.1%	1.7%	16,816	-12.8%	-13.5%	22	2	1	98.7%	-0.2%	0.6%
Chicago, IL metro area	December 2021	$290K	-1.0%	8.0%	9,137	2.0%	0.2%	4,821	-33.1%	-9.7%	14,586	-13.3%	-11.7%	26	4	1	98.7%	-0.1%	0.6%
Chicago, IL metro area	January 2022	$290K	0.0%	7.4%	6,340	-30.6%	3.0%	7,537	56.3%	-8.1%	17,833	22.3%	15.1%	32	6	-1	98.3%	-0.3%	0.4%
Chicago, IL metro area	February 2022	$291K	0.3%	6.2%	6,182	-2.5%	1.8%	9,162	21.6%	3.3%	21,710	21.7%	45.9%	52	20	14	98.9%	0.6%	0.9%
Chicago, IL metro area	March 2022	$310K	6.5%	3.3%	8,792	42.2%	-5.5%	12,472	36.1%	-8.6%	23,740	9.4%	50.8%	53	1	26	99.8%	0.9%	1.1%
Chicago, IL metro area	April 2022	$328K	5.6%	5.2%	9,510	8.2%	-9.3%	12,508	0.3%	-15.6%	25,274	6.5%	44.2%	49	-4	34	100.6%	0.8%	1.2%
Chicago, IL metro area	May 2022	$328K	0.2%	4.1%	10,206	7.3%	-6.4%	12,882	3.0%	-8.5%	26,491	4.8%	44.8%	49	0	38	101.1%	0.4%	1.1%
Chicago, IL metro area	June 2022	$340K	3.7%	6.3%	11,022	8.0%	-15.3%	13,164	2.2%	-12.9%	27,329	3.2%	35.7%	48	-1	39	101.0%	-0.1%	0.7%
Chicago, IL metro area	July 2022	$325K	-4.4%	4.2%	8,969	-18.6%	-23.4%	10,802	-17.9%	-22.7%	27,542	0.8%	27.3%	49	1	38	100.2%	-0.8%	0.1%
Chicago, IL metro area	August 2022	$310K	-4.6%	1.6%	8,986	0.2%	-19.8%	9,329	-13.6%	-23.3%	25,920	-5.9%	22.8%	53	4	39	99.3%	-0.9%	-0.4%
Chicago, IL metro area	September 2022	$305K	-1.6%	4.1%	7,881	-12.3%	-20.8%	8,583	-8.0%	-25.5%	24,951	-3.7%	19.3%	57	4	42	98.7%	-0.6%	-0.5%
Chicago, IL metro area	October 2022	$300K	-1.6%	2.4%	6,578	-16.5%	-31.2%	7,214	-16.0%	-27.1%	23,385	-6.3%	21.3%	61	4	41	98.3%	-0.3%	-0.6%
Chicago, IL metro area	November 2022	$294K	-2.0%	0.3%	5,859	-10.9%	-34.6%	5,264	-27.0%	-27.0%	20,993	-10.2%	24.8%	61	0	39	98.0%	-0.3%	-0.7%
Chicago, IL metro area	December 2022	$285K	-3.1%	-1.7%	5,560	-5.1%	-39.1%	3,452	-34.4%	-28.4%	17,350	-17.4%	18.9%	65	4	39	97.8%	-0.2%	-0.9%
Chicago, IL metro area	January 2023	$285K	0.0%	-1.7%	3,861	-30.6%	-39.1%	5,736	66.2%	-23.9%	17,867	3.0%	0.2%	76	11	44	97.6%	-0.2%	-0.8%
Chicago, IL metro area	February 2023	$290K	1.8%	-0.3%	4,301	11.4%	-30.4%	6,546	14.1%	-28.6%	18,770	5.1%	-13.5%	76	0	24	97.9%	0.3%	-1.0%
Chicago, IL metro area	March 2023	$309K	6.6%	-0.3%	6,827	58.7%	-22.3%	8,698	32.9%	-30.3%	19,073	1.6%	-19.7%	57	-19	4	98.8%	0.9%	-1.1%
Chicago, IL metro area	April 2023	$320K	3.6%	-2.3%	6,669	-2.3%	-29.9%	8,402	-3.4%	-32.8%	19,556	2.5%	-22.6%	51	-6	2	99.5%	0.7%	-1.1%
Chicago, IL metro area	May 2023	$330K	3.1%	0.6%	7,852	17.7%	-23.1%	9,492	13.0%	-26.3%	20,033	2.4%	-24.4%	49	-2	0	100.2%	0.7%	-0.8%
Chicago, IL metro area	June 2023	$345K	4.5%	1.5%	8,704	10.9%	-21.0%	9,420	-0.8%	-28.4%	19,766	-1.3%	-27.7%	48	-1	0	100.6%	0.4%	-0.4%
Chicago, IL metro area	July 2023	$337K	-2.2%	3.8%	7,204	-17.2%	-19.7%	8,420	-10.6%	-22.1%	19,704	-0.3%	-28.5%	49	1	0	100.4%	-0.2%	0.3%
Chicago, IL metro area	August 2023	$335K	-0.7%	8.1%	7,764	7.8%	-13.6%	8,486	0.8%	-9.0%	19,245	-2.3%	-25.8%	49	0	-4	100.2%	-0.2%	0.9%
Chicago, IL metro area	September 2023	$320K	-4.5%	4.9%	6,578	-15.3%	-16.5%	7,561	-10.9%	-11.9%	19,006	-1.2%	-23.8%	50	1	-7	99.8%	-0.4%	1.1%
Chicago, IL metro area	October 2023	$315K	-1.6%	5.0%	6,202	-5.7%	-5.7%	6,962	-7.9%	-3.5%	18,372	-3.3%	-21.4%	52	2	-9	99.5%	-0.3%	1.2%
Chicago, IL metro area	November 2023	$320K	1.6%	8.8%	5,335	-14.0%	-8.9%	5,468	-21.5%	3.9%	17,167	-6.6%	-18.2%	53	1	-8	99.0%	-0.5%	1.0%
Chicago, IL metro area	December 2023	$306K	-4.4%	7.3%	5,304	-0.6%	-4.6%	3,521	-35.6%	2.0%	14,290	-16.8%	-17.6%	57	4	-8	98.6%	-0.4%	0.8%
Chicago, IL metro area	January 2024	$312K	2.0%	9.5%	3,983	-24.9%	3.2%	5,359	52.2%	-6.6%	14,651	2.5%	-18.0%	65	8	-11	98.7%	0.1%	1.2%
Chicago, IL metro area	February 2024	$318K	1.8%	9.6%	4,468	12.2%	3.9%	7,570	41.3%	15.6%	16,645	13.6%	-11.3%	65	0	-11	99.0%	0.3%	1.1%
Chicago, IL metro area	March 2024	$339K	6.7%	9.7%	5,895	31.9%	-13.7%	8,056	6.4%	-7.4%	17,563	5.5%	-7.9%	50	-15	-7	99.7%	0.7%	0.9%
Chicago, IL metro area	April 2024	$349K	2.9%	9.1%	7,131	21.0%	6.9%	9,407	16.8%	12.0%	18,804	7.1%	-3.8%	47	-3	-4	100.4%	0.7%	0.9%
Chicago, IL metro area	May 2024	$355K	1.7%	7.6%	7,815	9.6%	-0.5%	9,777	3.9%	3.0%	19,708	4.8%	-1.6%	47	0	-2	100.6%	0.2%	0.4%
Chicago, IL metro area	June 2024	$375K	5.6%	8.7%	7,462	-4.5%	-14.3%	8,994	-8.0%	-4.5%	20,317	3.1%	2.8%	48	1	0	100.8%	0.1%	0.1%
Chicago, IL metro area	July 2024	$365K	-2.7%	8.2%	7,751	3.9%	7.6%	8,868	-1.4%	5.3%	20,296	-0.1%	3.0%	49	1	0	100.5%	-0.2%	0.1%
Chicago, IL metro area	August 2024	$351K	-3.8%	4.8%	7,381	-4.8%	-4.9%	8,289	-6.5%	-2.3%	19,779	-2.5%	2.8%	50	1	1	99.9%	-0.6%	-0.3%
Chicago, IL metro area	September 2024	$350K	-0.3%	9.4%	6,024	-18.4%	-8.4%	7,930	-4.3%	4.9%	20,353	2.9%	7.1%	53	3	3	99.4%	-0.5%	-0.4%
Chicago, IL metro area	October 2024	$340K	-2.9%	7.9%	6,365	5.7%	2.6%	7,665	-3.3%	10.1%	20,094	-1.3%	9.4%	54	1	2	99.2%	-0.2%	-0.3%
Chicago, IL metro area	November 2024	$348K	2.2%	8.6%	5,696	-10.5%	6.8%	5,270	-31.2%	-3.6%	18,320	-8.8%	6.7%	56	2	3	99.1%	0.0%	0.1%
Chicago, IL metro area	December 2024	$340K	-2.2%	11.2%	5,655	-0.7%	6.6%	3,725	-29.3%	5.8%	15,201	-17.0%	6.4%	61	5	4	98.7%	-0.5%	0.0%
Chicago, IL metro area	January 2025	$335K	-1.5%	7.4%	4,363	-22.8%	9.5%	5,903	58.5%	10.2%	15,686	3.2%	7.1%	70	9	5	98.5%	-0.1%	-0.2%
Chicago, IL metro area	February 2025	$345K	3.0%	8.6%	4,470	2.5%	0.0%	7,229	22.5%	-4.5%	17,065	8.8%	2.5%	68	-2	3	99.0%	0.5%	0.0%
Chicago, IL metro area	March 2025	$360K	4.3%	6.2%	5,741	28.4%	-2.6%	8,558	18.4%	6.2%	18,298	7.2%	4.2%	53	-15	3	99.7%	0.7%	0.0%
Chicago, IL metro area	April 2025	$370K	2.8%	6.0%	6,813	18.7%	-4.5%	9,602	12.2%	2.1%	19,769	8.0%	5.1%	47	-6	0	100.3%	0.6%	-0.2%
Chicago, IL metro area	May 2025	$375K	1.4%	5.6%	7,446	9.3%	-4.7%	9,878	2.9%	1.0%	20,885	5.6%	6.0%	47	0	0	100.5%	0.2%	-0.1%
Chicago, IL metro area	June 2025	$385K	2.7%	2.7%	8,085	8.6%	8.3%	9,165	-7.2%	1.9%	20,923	0.2%	3.0%	48	1	0	100.6%	0.1%	-0.2%
Chicago, IL metro area	July 2025	$375K	-2.6%	2.7%	7,680	-5.0%	-0.9%	8,722	-4.8%	-1.6%	20,572	-1.7%	1.4%	50	2	1	100.2%	-0.4%	-0.4%
Chicago, IL metro area	August 2025	$375K	0.0%	6.8%	7,111	-7.4%	-3.7%	7,729	-11.4%	-6.8%	19,669	-4.4%	-0.6%	51	1	1	99.8%	-0.4%	-0.1%
Chicago, IL metro area	September 2025	$360K	-4.0%	2.9%	6,394	-10.1%	6.1%	8,098	4.8%	2.1%	18,821	-4.3%	-7.5%	52	1	-1	99.5%	-0.3%	0.1%
Los Angeles, CA metro area	January 2012	$290K	-6.1%	-6.1%	5,040	-22.1%	-1.9%	8,329	51.2%	-9.8%	25,703	0.2%	-18.1%	73	3	0	97.6%	0.1%	-0.5%
Los Angeles, CA metro area	February 2012	$300K	3.4%	-4.8%	5,262	4.4%	12.7%	8,170	-1.9%	-7.1%	24,774	-3.6%	-21.8%	70	-3	-11	97.7%	0.0%	-0.4%
Los Angeles, CA metro area	March 2012	$310K	3.3%	-3.1%	6,798	29.2%	2.9%	8,467	3.6%	-18.0%	23,167	-6.5%	-27.2%	68	-2	-5	97.9%	0.3%	0.0%
Los Angeles, CA metro area	April 2012	$315K	1.6%	-3.1%	6,642	-2.3%	5.8%	7,991	-5.6%	-15.3%	22,075	-4.7%	-31.3%	58	-10	-6	98.1%	0.2%	0.0%
Los Angeles, CA metro area	May 2012	$320K	1.6%	0.0%	7,376	11.1%	20.6%	8,388	5.0%	-13.1%	20,585	-6.7%	-36.8%	53	-5	-6	98.5%	0.4%	0.5%
Los Angeles, CA metro area	June 2012	$330K	3.1%	2.5%	7,619	3.3%	11.8%	7,917	-5.6%	-18.2%	19,331	-6.1%	-40.6%	46	-7	-14	98.9%	0.4%	0.9%
Los Angeles, CA metro area	July 2012	$335K	1.5%	3.1%	7,149	-6.2%	15.1%	7,634	-3.6%	-13.7%	18,181	-5.9%	-43.8%	44	-2	-16	99.2%	0.3%	1.2%
Los Angeles, CA metro area	August 2012	$337K	0.6%	7.0%	7,919	10.8%	20.0%	7,421	-2.8%	-18.5%	16,443	-9.6%	-47.9%	42	-2	-19	99.1%	-0.1%	1.3%
Los Angeles, CA metro area	September 2012	$349K	3.4%	10.6%	6,345	-19.9%	0.9%	6,594	-11.1%	-21.1%	15,183	-7.7%	-51.0%	40	-2	-22	99.1%	0.0%	1.3%
Los Angeles, CA metro area	October 2012	$345K	-1.0%	15.0%	7,250	14.3%	22.8%	7,086	7.5%	-10.5%	13,614	-10.3%	-54.3%	39	-1	-28	99.2%	0.1%	1.3%
Los Angeles, CA metro area	November 2012	$350K	1.4%	12.9%	6,673	-8.0%	13.9%	5,975	-15.7%	-12.4%	12,386	-9.0%	-56.2%	35	-4	-33	99.4%	0.1%	1.7%
Los Angeles, CA metro area	December 2012	$353K	0.9%	14.2%	7,382	10.6%	14.1%	4,269	-28.6%	-22.5%	10,386	-16.1%	-59.5%	35	0	-35	99.2%	-0.2%	1.6%
Los Angeles, CA metro area	January 2013	$340K	-3.7%	17.2%	5,478	-25.8%	8.7%	6,943	62.6%	-16.6%	10,519	1.3%	-59.1%	33	-2	-40	99.4%	0.2%	1.7%
Los Angeles, CA metro area	February 2013	$360K	5.9%	20.0%	5,184	-5.4%	-1.5%	6,836	-1.5%	-16.3%	10,422	-0.9%	-57.9%	27	-6	-43	99.6%	0.3%	2.0%
Los Angeles, CA metro area	March 2013	$389K	8.1%	25.5%	6,589	27.1%	-3.1%	7,549	10.4%	-10.8%	10,232	-1.8%	-55.8%	22	-5	-46	100.2%	0.6%	2.3%
Los Angeles, CA metro area	April 2013	$404K	3.9%	28.3%	6,796	3.1%	2.3%	8,551	13.3%	7.0%	11,036	7.9%	-50.0%	19	-3	-39	100.5%	0.3%	2.4%
Los Angeles, CA metro area	May 2013	$416K	3.0%	30.0%	7,482	10.1%	1.4%	8,521	-0.4%	1.6%	11,619	5.3%	-43.6%	17	-2	-36	100.9%	0.4%	2.4%
Los Angeles, CA metro area	June 2013	$435K	4.4%	31.7%	6,950	-7.1%	-8.8%	8,556	0.4%	8.1%	12,700	9.3%	-34.3%	18	1	-28	101.2%	0.4%	2.4%
Los Angeles, CA metro area	July 2013	$431K	-0.8%	28.7%	7,282	4.8%	1.9%	9,150	6.9%	19.9%	13,826	8.9%	-24.0%	18	0	-26	101.0%	-0.2%	1.8%
Los Angeles, CA metro area	August 2013	$440K	2.1%	30.6%	7,585	4.2%	-4.2%	8,603	-6.0%	15.9%	14,232	2.9%	-13.4%	20	2	-22	100.8%	-0.2%	1.6%
Los Angeles, CA metro area	September 2013	$433K	-1.6%	24.2%	6,210	-18.1%	-2.1%	7,922	-7.9%	20.1%	15,058	5.8%	-0.8%	22	2	-18	100.4%	-0.3%	1.3%
Los Angeles, CA metro area	October 2013	$435K	0.5%	26.1%	6,682	7.6%	-7.8%	7,715	-2.6%	8.9%	14,774	-1.9%	8.5%	25	3	-14	100.0%	-0.4%	0.8%
Los Angeles, CA metro area	November 2013	$430K	-1.1%	22.9%	5,643	-15.5%	-15.4%	5,688	-26.3%	-4.8%	13,678	-7.4%	10.4%	28	3	-7	99.7%	-0.3%	0.4%
Los Angeles, CA metro area	December 2013	$439K	2.1%	24.4%	6,002	6.4%	-18.7%	4,374	-23.1%	2.5%	12,105	-11.5%	16.6%	28	0	-7	99.5%	-0.2%	0.4%
Los Angeles, CA metro area	January 2014	$425K	-3.2%	25.0%	4,784	-20.3%	-12.7%	7,297	66.8%	5.1%	13,041	7.7%	24.0%	36	8	3	99.2%	-0.3%	-0.2%
Los Angeles, CA metro area	February 2014	$432K	1.6%	19.9%	4,439	-7.2%	-14.4%	6,865	-5.9%	0.4%	13,292	1.9%	27.5%	34	-2	7	99.2%	0.0%	-0.5%
Los Angeles, CA metro area	March 2014	$450K	4.2%	15.7%	5,506	24.0%	-16.4%	8,197	19.4%	8.6%	13,892	4.5%	35.8%	28	-6	6	99.5%	0.3%	-0.7%
Los Angeles, CA metro area	April 2014	$458K	1.8%	13.4%	6,299	14.4%	-7.3%	8,234	0.5%	-3.7%	14,038	1.1%	27.2%	27	-1	8	99.5%	0.0%	-1.0%
Los Angeles, CA metro area	May 2014	$465K	1.5%	11.8%	6,433	2.1%	-14.0%	8,527	3.6%	0.1%	14,501	3.3%	24.8%	25	-2	8	99.7%	0.2%	-1.1%
Los Angeles, CA metro area	June 2014	$465K	0.0%	7.0%	6,460	0.4%	-7.1%	8,451	-0.9%	-1.2%	15,781	8.8%	24.3%	25	0	7	99.7%	0.0%	-1.5%
Los Angeles, CA metro area	July 2014	$472K	1.5%	9.5%	6,724	4.1%	-7.7%	8,695	2.9%	-5.0%	17,364	10.0%	25.6%	24	-1	6	99.7%	0.0%	-1.3%
Los Angeles, CA metro area	August 2014	$479K	1.5%	8.9%	6,428	-4.4%	-15.3%	7,874	-9.4%	-8.5%	17,868	2.9%	25.5%	27	3	7	99.3%	-0.4%	-1.5%
Los Angeles, CA metro area	September 2014	$470K	-1.9%	8.6%	6,033	-6.1%	-2.9%	7,618	-3.3%	-3.8%	18,413	3.1%	22.3%	33	6	11	99.1%	-0.1%	-1.3%
Los Angeles, CA metro area	October 2014	$475K	1.1%	9.2%	6,410	6.2%	-4.1%	7,865	3.2%	1.9%	18,065	-1.9%	22.3%	40	7	15	99.0%	-0.1%	-1.0%
Los Angeles, CA metro area	November 2014	$465K	-2.1%	8.1%	5,095	-20.5%	-9.7%	5,436	-30.9%	-4.4%	16,667	-7.7%	21.9%	42	2	14	98.8%	-0.3%	-0.9%
Los Angeles, CA metro area	December 2014	$468K	0.5%	6.5%	6,004	17.8%	0.0%	4,291	-21.1%	-1.9%	14,055	-15.7%	16.1%	47	5	19	98.7%	-0.1%	-0.8%
Los Angeles, CA metro area	January 2015	$465K	-0.5%	9.4%	4,418	-26.4%	-7.7%	7,389	72.2%	1.3%	14,972	6.5%	14.8%	51	4	15	98.4%	-0.3%	-0.8%
Los Angeles, CA metro area	February 2015	$470K	1.1%	8.8%	4,301	-2.6%	-3.1%	7,389	0.0%	7.6%	15,683	4.7%	18.0%	46	-5	12	98.8%	0.4%	-0.4%
Los Angeles, CA metro area	March 2015	$480K	2.1%	6.7%	6,114	42.2%	11.0%	8,617	16.6%	5.1%	15,899	1.4%	14.4%	38	-8	10	99.1%	0.4%	-0.4%
Los Angeles, CA metro area	April 2015	$495K	3.0%	8.0%	6,680	9.3%	6.0%	9,026	4.7%	9.6%	16,600	4.4%	18.3%	36	-2	9	99.4%	0.3%	-0.1%
Los Angeles, CA metro area	May 2015	$494K	-0.1%	6.2%	6,710	0.4%	4.3%	8,689	-3.7%	1.9%	17,206	3.7%	18.7%	35	-1	10	99.7%	0.2%	-0.1%
Los Angeles, CA metro area	June 2015	$507K	2.5%	8.9%	7,533	12.3%	16.6%	9,382	8.0%	11.0%	18,009	4.7%	14.1%	33	-2	8	99.7%	0.0%	0.0%
Los Angeles, CA metro area	July 2015	$505K	-0.3%	7.0%	7,582	0.7%	12.8%	9,280	-1.1%	6.7%	18,309	1.7%	5.4%	35	2	11	99.6%	0.0%	-0.1%
Los Angeles, CA metro area	August 2015	$510K	1.0%	6.5%	6,882	-9.2%	7.1%	8,497	-8.4%	7.9%	18,182	-0.7%	1.8%	35	0	8	99.6%	0.0%	0.3%
Los Angeles, CA metro area	September 2015	$499K	-2.2%	6.2%	6,650	-3.4%	10.2%	7,835	-7.8%	2.8%	17,860	-1.8%	-3.0%	36	1	3	99.4%	-0.2%	0.3%
Los Angeles, CA metro area	October 2015	$499K	-0.1%	5.0%	6,465	-2.8%	0.9%	7,612	-2.8%	-3.2%	17,188	-3.8%	-4.9%	37	1	-3	99.3%	-0.2%	0.2%
Los Angeles, CA metro area	November 2015	$496K	-0.5%	6.6%	4,905	-24.1%	-3.7%	5,877	-22.8%	8.1%	15,977	-7.0%	-4.1%	40	3	-2	99.2%	-0.1%	0.4%
Los Angeles, CA metro area	December 2015	$510K	2.9%	9.1%	6,570	33.9%	9.4%	4,370	-25.6%	1.8%	13,486	-15.6%	-4.0%	42	2	-5	99.0%	-0.2%	0.3%
Los Angeles, CA metro area	January 2016	$500K	-2.0%	7.5%	4,674	-28.9%	5.8%	7,059	61.5%	-4.5%	14,772	9.5%	-1.3%	48	6	-3	98.9%	-0.1%	0.4%
Los Angeles, CA metro area	February 2016	$500K	0.0%	6.4%	4,476	-4.2%	4.1%	7,627	8.0%	3.2%	15,511	5.0%	-1.1%	46	-2	0	98.9%	0.1%	0.1%
Los Angeles, CA metro area	March 2016	$518K	3.6%	7.9%	6,175	38.0%	1.0%	8,736	14.5%	1.4%	16,104	3.8%	1.3%	39	-7	1	99.5%	0.6%	0.4%
Los Angeles, CA metro area	April 2016	$530K	2.3%	7.2%	6,440	4.3%	-3.6%	8,892	1.8%	-1.5%	16,816	4.4%	1.3%	37	-2	1	99.6%	0.1%	0.2%
Los Angeles, CA metro area	May 2016	$540K	1.9%	9.3%	6,734	4.6%	0.4%	8,770	-1.4%	0.9%	17,280	2.8%	0.4%	37	0	2	99.7%	0.1%	0.1%
Los Angeles, CA metro area	June 2016	$540K	0.0%	6.6%	7,492	11.3%	-0.5%	9,452	7.8%	0.7%	18,124	4.9%	0.6%	36	-1	3	99.9%	0.1%	0.2%
Los Angeles, CA metro area	July 2016	$540K	0.0%	6.9%	6,749	-9.9%	-11.0%	9,147	-3.2%	-1.4%	19,356	6.8%	5.7%	36	0	1	99.7%	-0.1%	0.1%
Los Angeles, CA metro area	August 2016	$545K	0.9%	6.9%	7,157	6.0%	4.0%	9,298	1.7%	9.4%	19,891	2.8%	9.4%	38	2	3	99.7%	0.0%	0.1%
Los Angeles, CA metro area	September 2016	$535K	-1.8%	7.2%	6,784	-5.2%	2.0%	8,860	-4.7%	13.1%	20,208	1.6%	13.1%	41	3	5	99.6%	-0.2%	0.1%
Los Angeles, CA metro area	October 2016	$540K	0.9%	8.3%	6,208	-8.5%	-4.0%	7,257	-18.1%	-4.7%	19,506	-3.5%	13.5%	42	1	5	99.2%	-0.3%	0.0%
Los Angeles, CA metro area	November 2016	$545K	0.9%	9.9%	6,043	-2.7%	23.2%	5,748	-20.8%	-2.2%	17,895	-8.3%	12.0%	44	2	4	99.2%	0.0%	0.1%
Los Angeles, CA metro area	December 2016	$535K	-1.8%	4.9%	6,335	4.8%	-3.6%	3,865	-32.8%	-11.6%	14,813	-17.2%	9.8%	50	6	8	99.1%	-0.1%	0.1%
Los Angeles, CA metro area	January 2017	$540K	0.9%	8.0%	4,807	-24.1%	2.8%	6,642	71.8%	-5.9%	15,254	3.0%	3.3%	54	4	6	99.0%	-0.1%	0.1%
Los Angeles, CA metro area	February 2017	$540K	0.0%	8.0%	4,538	-5.6%	1.4%	6,619	-0.3%	-13.2%	15,498	1.6%	-0.1%	55	1	9	99.1%	0.2%	0.2%
Los Angeles, CA metro area	March 2017	$555K	2.8%	7.1%	6,609	45.6%	7.0%	9,010	36.1%	3.1%	16,344	5.5%	1.5%	43	-12	4	99.5%	0.4%	0.0%
